author,year,records,total
DENNY P,2016,1,75
DENNY P,2018,1,75
DENNY P,2019,4,75
DENNY P,2021,1,75
DENNY P,2022,6,75
DENNY P,2023,14,75
DENNY P,2024,18,75
DENNY P,2025,20,75
DENNY P,2026,10,75
LEINONEN J,2020,1,55
LEINONEN J,2021,1,55
LEINONEN J,2022,3,55
LEINONEN J,2023,11,55
LEINONEN J,2024,17,55
LEINONEN J,2025,15,55
LEINONEN J,2026,7,55
BECKER BA,2017,1,41
BECKER BA,2018,1,41
BECKER BA,2019,6,41
BECKER BA,2020,1,41
BECKER BA,2021,2,41
BECKER BA,2022,6,41
BECKER BA,2023,12,41
BECKER BA,2024,9,41
BECKER BA,2025,2,41
BECKER BA,2026,1,41
PRATHER J,2018,1,38
PRATHER J,2019,4,38
PRATHER J,2022,5,38
PRATHER J,2023,8,38
PRATHER J,2024,11,38
PRATHER J,2025,6,38
PRATHER J,2026,3,38
HELLAS A,2019,4,37
HELLAS A,2020,5,37
HELLAS A,2022,5,37
HELLAS A,2023,6,37
HELLAS A,2024,10,37
HELLAS A,2025,6,37
HELLAS A,2026,1,37
LUXTON-REILLY A,2017,1,29
LUXTON-REILLY A,2018,3,29
LUXTON-REILLY A,2019,1,29
LUXTON-REILLY A,2021,1,29
LUXTON-REILLY A,2022,1,29
LUXTON-REILLY A,2023,5,29
LUXTON-REILLY A,2024,7,29
LUXTON-REILLY A,2025,7,29
LUXTON-REILLY A,2026,3,29
MACNEIL S,2022,1,28
MACNEIL S,2023,2,28
MACNEIL S,2024,7,28
MACNEIL S,2025,12,28
MACNEIL S,2026,6,28
KIESLER N,2022,1,21
KIESLER N,2023,1,21
KIESLER N,2024,9,21
KIESLER N,2025,10,21
ERICSON BJ,2020,1,19
ERICSON BJ,2021,1,19
ERICSON BJ,2022,2,19
ERICSON BJ,2023,8,19
ERICSON BJ,2024,2,19
ERICSON BJ,2025,4,19
ERICSON BJ,2026,1,19
SINGLA A,2020,1,18
SINGLA A,2023,3,18
SINGLA A,2024,2,18
SINGLA A,2025,9,18
SINGLA A,2026,3,18
