source,records
ACM TRANS. COMPUT. EDUC.,144
J. COMPUT. SCI. COLL.,118
PROCEEDINGS OF THE 57TH ACM TECHNICAL SYMPOSIUM ON COMPUTER SCIENCE EDUCATION V.2,78
ACM INTERNATIONAL CONFERENCE PROCEEDING SERIES,42
PROCEEDINGS OF THE 56TH ACM TECHNICAL SYMPOSIUM ON COMPUTER SCIENCE EDUCATION V. 2,40
"ANNUAL CONFERENCE ON INNOVATION AND TECHNOLOGY IN COMPUTER SCIENCE EDUCATION, ITICSE",38
"PROCEEDINGS - FRONTIERS IN EDUCATION CONFERENCE, FIE",30
IEEE ACCESS,27
PROCEEDINGS OF THE 56TH ACM TECHNICAL SYMPOSIUM ON COMPUTER SCIENCE EDUCATION V. 1,27
LECTURE NOTES IN COMPUTER SCIENCE,26
