author,full_name,raw_degree,degree,references,highest_in_homonym_group,entered_table4_top10
SHEARD J,SHEARD JUDY,26983,0.6966590932562222,1849,True,True
HOU X,HOU XINYING,11919,0.3077300423422493,353,True,False
LAU S,LAU SAM,11786,0.30429618919756274,326,True,False
KUMAR V,KUMAR VIRAJ,9718,0.2509036455643912,392,True,False
PETTIT V,PETTIT VEE,9588,0.2475472477537953,163,True,False
SHAH A,SHAH ANSHUL,9000,0.23236600227202314,391,True,False
WRIGHT J,WRIGHT JARED,8350,0.2155840132190437,126,True,False
WU Z,WU ZIHAN,7930,0.20474026644634927,262,True,False
YANG S,YANG STEPHANIE,7862,0.20298461220696065,305,True,False
FOWLER M,FOWLER MAX,7403,0.19113394609108747,351,True,False
CHEN Y,CHEN YAN,7332,0.18930083651760818,495,True,False
JIANG J,JIANG JING,6641,0.1714602912320562,211,True,False
ZHANG L,ZHANG LI,6641,0.1714602912320562,211,True,False
ZHU T,ZHU TINGTING,6612,0.17071155633584634,438,True,False
MA X,MA XIAOJUAN,5565,0.14367964473820097,192,True,False
AGARWAL A,AGARWAL ARAV,5359,0.13836104513064132,125,True,False
WANG X,WANG XU,5249,0.13552101621398327,174,True,False
BARNES T,BARNES TIFFANY,5127,0.13237116596096252,274,True,False
WANG X,WANG XIAONING,4905,0.12663947123825262,63,False,False
KAPOOR A,KAPOOR AMANPREET,4598,0.11871320871630693,105,True,False
KIM J,KIM JOANNE,4567,0.1179128369307033,105,True,False
KIM Y,KIM YUBIN,4544,0.1173190127026748,45,True,False
LI N,LI NERO,4544,0.1173190127026748,45,True,False
WANG A,WANG ALBERT,4544,0.1173190127026748,45,True,False
LIU D,LIU DAVID,4365,0.11269751110193121,165,True,False
ALI M,ALI MURTAZA,4358,0.11251678198905297,226,True,False
SANTOS JCS,SANTOS JOANNA CS,4355,0.1124393266549623,147,True,False
ZHU Y,ZHU YINGHAO,4288,0.11070949086027057,65,True,False
PANG A,PANG AMY,4214,0.1087989259527006,94,True,False
MA S,MA SHUAI,4129,0.10660435815346483,85,True,False
WANG J,WANG JUNLING,4129,0.10660435815346483,85,True,False
ZHANG Y,ZHANG YUANHAO,4129,0.10660435815346483,85,True,False
WANG T,WANG TIANJIA,3802,0.09816172673758133,189,True,False
ZHANG L,ZHANG LISA,3716,0.09594134049364866,111,False,False
KO AJ,KO AMY J,3524,0.0909841991118455,450,True,False
XU Y,XU YUDIAN,3296,0.08509759372095425,45,True,False
ZHAO H,ZHAO HANZHANG,3296,0.08509759372095425,45,True,False
WU M,WU MENGYAN,3286,0.08483940927398534,119,True,False
LI H,LI HAOLIN,3226,0.08329030259217185,42,True,False
LIU D,LIU DYLAN,2935,0.07577713518537643,97,False,False
WANG D,WANG DAKUO,2655,0.06854797067024683,304,True,False
WANG T,WANG TAOZHI,2643,0.06823814933388413,59,False,False
ZHANG J,ZHANG JURAN,2643,0.06823814933388413,59,True,False
ZHENG Y,ZHENG YUJIA,2643,0.06823814933388413,59,True,False
WANG Q,WANG QIUNING,2577,0.06653413198388929,108,True,False
ZHOU X,ZHOU XIAOBO,2577,0.06653413198388929,108,True,False
ZHU Y,ZHU YUJUN,2577,0.06653413198388929,108,False,False
ZHANG J,ZHANG JIAYI,2492,0.06433956418465352,76,False,False
SHARMA S,SHARMA SANCHIT,2462,0.06356501084374677,84,True,False
LIN K,LIN KEVIN,2428,0.06268718372405246,20,True,False
CHEN X,CHEN XI,2376,0.06134462459981411,95,True,False
LIU F,LIU FANG,2353,0.0607508003717856,146,True,False
CHEN M,CHEN MELISSA,2288,0.059072601466487656,62,True,False
JIANG S,JIANG SHUAISHUAI,2226,0.057471857895280386,36,True,False
SHEN J,SHEN JIYUN,2226,0.057471857895280386,36,True,False
HUANG Y,HUANG YIYI,2176,0.05618093566043582,98,True,False
JIANG J,JIANG JUN,2176,0.05618093566043582,98,False,False
