vocabulary,item,raw_degree,degree,occurrences,degree_definition,degree_calculation
Indexed keywords,STUDENTS,7383,1.0,470,Weighted keyword co-occurrence degree: sum of co-occurrence edge weights connected to the keyword.,degree = raw_degree / maximum raw_degree within the same keyword vocabulary.
Indexed keywords,EDUCATION COMPUTING,6668,0.903155898686171,398,Weighted keyword co-occurrence degree: sum of co-occurrence edge weights connected to the keyword.,degree = raw_degree / maximum raw_degree within the same keyword vocabulary.
Indexed keywords,PROGRAMMING EDUCATION,5504,0.7454964106731681,413,Weighted keyword co-occurrence degree: sum of co-occurrence edge weights connected to the keyword.,degree = raw_degree / maximum raw_degree within the same keyword vocabulary.
Indexed keywords,LANGUAGE MODEL,4988,0.6756061221725586,317,Weighted keyword co-occurrence degree: sum of co-occurrence edge weights connected to the keyword.,degree = raw_degree / maximum raw_degree within the same keyword vocabulary.
Indexed keywords,TEACHING,4528,0.6133008262224028,264,Weighted keyword co-occurrence degree: sum of co-occurrence edge weights connected to the keyword.,degree = raw_degree / maximum raw_degree within the same keyword vocabulary.
Indexed keywords,LARGE LANGUAGE MODEL,4039,0.5470675877014763,271,Weighted keyword co-occurrence degree: sum of co-occurrence edge weights connected to the keyword.,degree = raw_degree / maximum raw_degree within the same keyword vocabulary.
Indexed keywords,CURRICULA,3389,0.4590274955979954,197,Weighted keyword co-occurrence degree: sum of co-occurrence edge weights connected to the keyword.,degree = raw_degree / maximum raw_degree within the same keyword vocabulary.
Indexed keywords,LEARNING SYSTEMS,3296,0.44643099011242043,186,Weighted keyword co-occurrence degree: sum of co-occurrence edge weights connected to the keyword.,degree = raw_degree / maximum raw_degree within the same keyword vocabulary.
Indexed keywords,ENGINEERING EDUCATION,2873,0.38913720709738586,157,Weighted keyword co-occurrence degree: sum of co-occurrence edge weights connected to the keyword.,degree = raw_degree / maximum raw_degree within the same keyword vocabulary.
Indexed keywords,COMPUTER AIDED INSTRUCTION,2833,0.3837193552756332,161,Weighted keyword co-occurrence degree: sum of co-occurrence edge weights connected to the keyword.,degree = raw_degree / maximum raw_degree within the same keyword vocabulary.
Author keywords,PROGRAMMING EDUCATION,1621,1.0,310,Weighted keyword co-occurrence degree: sum of co-occurrence edge weights connected to the keyword.,degree = raw_degree / maximum raw_degree within the same keyword vocabulary.
Author keywords,EDUCATION,1420,0.8760024676125848,163,Weighted keyword co-occurrence degree: sum of co-occurrence edge weights connected to the keyword.,degree = raw_degree / maximum raw_degree within the same keyword vocabulary.
Author keywords,LARGE LANGUAGE MODELS,1241,0.7655768044417026,231,Weighted keyword co-occurrence degree: sum of co-occurrence edge weights connected to the keyword.,degree = raw_degree / maximum raw_degree within the same keyword vocabulary.
Author keywords,GENERATIVE AI,1190,0.7341147439851943,206,Weighted keyword co-occurrence degree: sum of co-occurrence edge weights connected to the keyword.,degree = raw_degree / maximum raw_degree within the same keyword vocabulary.
Author keywords,PROGRAMMING PROFESSION,1137,0.7014188772362739,106,Weighted keyword co-occurrence degree: sum of co-occurrence edge weights connected to the keyword.,degree = raw_degree / maximum raw_degree within the same keyword vocabulary.
Author keywords,PROGRAMMING,833,0.5138803207896361,121,Weighted keyword co-occurrence degree: sum of co-occurrence edge weights connected to the keyword.,degree = raw_degree / maximum raw_degree within the same keyword vocabulary.
Author keywords,CS1,769,0.4743985194324491,110,Weighted keyword co-occurrence degree: sum of co-occurrence edge weights connected to the keyword.,degree = raw_degree / maximum raw_degree within the same keyword vocabulary.
Author keywords,CHATGPT,752,0.4639111659469463,121,Weighted keyword co-occurrence degree: sum of co-occurrence edge weights connected to the keyword.,degree = raw_degree / maximum raw_degree within the same keyword vocabulary.
Author keywords,COMPUTER SCIENCE EDUCATION,668,0.4120913016656385,127,Weighted keyword co-occurrence degree: sum of co-occurrence edge weights connected to the keyword.,degree = raw_degree / maximum raw_degree within the same keyword vocabulary.
Author keywords,INTRODUCTORY PROGRAMMING,667,0.41147439851943246,102,Weighted keyword co-occurrence degree: sum of co-occurrence edge weights connected to the keyword.,degree = raw_degree / maximum raw_degree within the same keyword vocabulary.
